porfolio
lambda=0.5
alpha  |  K  |  alpha-NDCG@K
0.1  |  1  |  0.46
0.1  |  5  |  0.592
0.1  |  10  |  0.628
0.1  |  20  |  0.611
0.1  |  30  |  0.616
0.1  |  40  |  0.62
0.1  |  50  |  0.615
0.5  |  1  |  0.46
0.5  |  5  |  0.601
0.5  |  10  |  0.637
0.5  |  20  |  0.623
0.5  |  30  |  0.628
0.5  |  40  |  0.63
0.5  |  50  |  0.625
0.9  |  1  |  0.46
0.9  |  5  |  0.608
0.9  |  10  |  0.645
0.9  |  20  |  0.64
0.9  |  30  |  0.645
0.9  |  40  |  0.649
0.9  |  50  |  0.648
