mmr
lambda=0.5
alpha  |  K  |  alpha-NDCG@K
0.1  |  1  |  0.4
0.1  |  5  |  0.561
0.1  |  10  |  0.598
0.1  |  20  |  0.59
0.1  |  30  |  0.587
0.1  |  40  |  0.59
0.1  |  50  |  0.595
0.5  |  1  |  0.4
0.5  |  5  |  0.57
0.5  |  10  |  0.611
0.5  |  20  |  0.604
0.5  |  30  |  0.599
0.5  |  40  |  0.597
0.5  |  50  |  0.598
0.9  |  1  |  0.4
0.9  |  5  |  0.571
0.9  |  10  |  0.611
0.9  |  20  |  0.603
0.9  |  30  |  0.602
0.9  |  40  |  0.6
0.9  |  50  |  0.602
