mmr
lambda=0.5
alpha  |  K  |  alpha-NDCG@K
0.1  |  1  |  0.46
0.1  |  5  |  0.618
0.1  |  10  |  0.655
0.1  |  20  |  0.643
0.1  |  30  |  0.643
0.1  |  40  |  0.638
0.1  |  50  |  0.636
0.5  |  1  |  0.46
0.5  |  5  |  0.627
0.5  |  10  |  0.665
0.5  |  20  |  0.663
0.5  |  30  |  0.66
0.5  |  40  |  0.654
0.5  |  50  |  0.654
0.9  |  1  |  0.46
0.9  |  5  |  0.626
0.9  |  10  |  0.668
0.9  |  20  |  0.672
0.9  |  30  |  0.667
0.9  |  40  |  0.664
0.9  |  50  |  0.664
