porfolio
b=4
alpha  |  K  |  alpha-NDCG@K
0.1  |  1  |  0.417
0.1  |  5  |  0.604
0.1  |  10  |  0.623
0.1  |  20  |  0.627
0.1  |  30  |  0.619
0.1  |  40  |  0.621
0.1  |  50  |  0.616
0.5  |  1  |  0.417
0.5  |  5  |  0.61
0.5  |  10  |  0.631
0.5  |  20  |  0.629
0.5  |  30  |  0.617
0.5  |  40  |  0.615
0.5  |  50  |  0.607
0.9  |  1  |  0.417
0.9  |  5  |  0.608
0.9  |  10  |  0.632
0.9  |  20  |  0.629
0.9  |  30  |  0.618
0.9  |  40  |  0.616
0.9  |  50  |  0.609
