porfolio
lambda=0.5
alpha  |  K  |  alpha-NDCG@K
0.1  |  1  |  0.42
0.1  |  5  |  0.65
0.1  |  10  |  0.654
0.1  |  20  |  0.626
0.1  |  30  |  0.626
0.1  |  40  |  0.626
0.1  |  50  |  0.617
0.5  |  1  |  0.42
0.5  |  5  |  0.646
0.5  |  10  |  0.655
0.5  |  20  |  0.632
0.5  |  30  |  0.626
0.5  |  40  |  0.624
0.5  |  50  |  0.614
0.9  |  1  |  0.42
0.9  |  5  |  0.66
0.9  |  10  |  0.668
0.9  |  20  |  0.649
0.9  |  30  |  0.643
0.9  |  40  |  0.643
0.9  |  50  |  0.635
